epoch,speed,hdop
1631521541.386,6.6,0.5
1631521541.488,6.52,0.5
1631521541.59,6.43,0.5
1631521541.692,6.44,0.5
1631521541.794,6.46,0.5
1631521541.896,6.44,0.5
1631521541.998,6.51,0.5
1631521542.1,6.4,0.5
1631521542.202,6.44,0.5
1631521542.304,6.48,0.5
1631521542.406,6.44,0.5
1631521542.508,6.46,0.5
1631521542.61,6.44,0.5
1631521542.712,6.45,0.5
1631521542.814,6.45,0.5
1631521542.916,6.54,0.5
1631521543.018,6.65,0.5
1631521543.12,6.92,0.5
1631521543.222,6.97,0.5
1631521543.324,7.21,0.5
1631521543.425,7.48,0.5
1631521543.526,7.48,0.5
1631521543.629,7.81,0.5
1631521543.73,7.92,0.5
1631521543.832,8.22,0.5
1631521543.934,8.38,0.5
1631521544.036,8.44,0.5
1631521544.138,8.6,0.5
1631521544.24,8.74,0.5
1631521544.342,8.86,0.5
1631521544.444,9.09,0.5
1631521544.547,9.17,0.5
1631521544.648,9.37,0.5
1631521544.75,9.54,0.5
1631521544.853,9.72,0.5
1631521544.954,9.84,0.5
1631521545.057,10.03,0.5
1631521545.159,10.21,0.5
1631521545.261,10.41,0.5
1631521545.363,10.55,0.5
1631521545.465,10.8,0.5
1631521545.567,10.98,0.5
1631521545.669,11.25,0.5
1631521545.771,11.42,0.5
1631521545.873,11.36,0.5
1631521545.975,11.51,0.5
1631521546.076,11.5,0.5
1631521546.178,11.39,0.5
1631521546.28,11.44,0.5
1631521546.382,11.38,0.5
1631521546.484,11.38,0.5
1631521546.586,11.44,0.5
1631521546.688,11.4,0.5
1631521546.79,11.49,0.5
1631521546.892,11.58,0.5
1631521546.994,11.61,0.5
1631521547.096,11.66,0.5
1631521547.198,11.63,0.5
1631521547.3,11.62,0.5
1631521547.402,11.54,0.5
1631521547.504,11.57,0.5
1631521547.606,11.62,0.5
1631521547.708,11.55,0.5
1631521547.81,11.66,0.5
1631521547.912,11.59,0.5
1631521548.014,11.57,0.5
1631521548.116,11.56,0.5
1631521548.218,11.63,0.5
1631521548.32,11.51,0.5
1631521548.422,11.55,0.5
1631521548.524,11.47,0.5
1631521548.627,11.44,0.5
1631521548.728,11.42,0.5
1631521548.83,11.34,0.5
1631521548.933,11.42,0.5
1631521549.034,11.28,0.5
1631521549.136,11.32,0.5
1631521549.239,11.27,0.5
1631521549.34,11.29,0.5
1631521549.442,11.2,0.5
1631521549.544,11.23,0.5
1631521549.646,11.11,0.5
1631521549.748,11.06,0.5
1631521549.85,11.11,0.5
1631521549.952,10.93,0.5
1631521550.054,10.9,0.5
1631521550.155,10.89,0.5
1631521550.256,10.84,0.5
1631521550.357,10.78,0.5
1631521550.459,10.73,0.5
1631521550.561,10.65,0.5
1631521550.663,10.65,0.5
1631521550.765,10.67,0.5
1631521550.867,10.72,0.5
1631521550.969,10.57,0.5
1631521551.07,10.59,0.5
1631521551.172,10.46,0.5
1631521551.274,10.34,0.5
1631521551.376,10.3,0.5
1631521551.478,10.24,0.5
1631521551.58,10.17,0.5
1631521551.682,10.1,0.5
1631521551.784,10.06,0.5
1631521551.886,9.95,0.5
1631521551.988,9.85,0.5
1631521552.09,9.87,0.5
1631521552.192,9.75,0.5
1631521552.294,9.73,0.5
1631521552.396,9.64,0.5
1631521552.498,9.56,0.5
1631521552.6,9.41,0.5
1631521552.702,9.32,0.5
1631521552.804,9.2,0.5
1631521552.906,9.15,0.5
1631521553.008,9.02,0.5
1631521553.11,8.95,0.5
1631521553.212,8.8,0.5
1631521553.314,8.63,0.5
1631521553.416,8.64,0.5
1631521553.518,8.47,0.5
1631521553.62,8.33,0.5
1631521553.722,8.14,0.5
1631521553.823,7.95,0.5
1631521553.924,7.95,0.5
1631521554.027,7.68,0.5
1631521554.128,7.49,0.5
1631521554.23,7.25,0.5
1631521554.332,7.02,0.5
1631521554.434,6.9,0.5
1631521554.536,6.75,0.5
1631521554.638,6.59,0.5
1631521554.74,6.4,0.5
1631521554.841,6.39,0.5
1631521554.942,6.26,0.5
1631521555.044,6.13,0.5
1631521555.147,6.13,0.5
1631521555.248,6.07,0.5
1631521555.351,5.92,0.5
1631521555.452,5.99,0.5
1631521555.555,5.89,0.5
1631521555.657,5.86,0.5
1631521555.759,5.77,0.5
1631521555.861,5.63,0.5
1631521555.963,5.29,0.5
1631521556.064,5.15,0.5
1631521556.166,5.05,0.5
1631521556.268,5.03,0.5
1631521556.37,5.02,0.5
1631521556.472,4.89,0.5
1631521556.574,4.84,0.5
1631521556.676,4.75,0.5
1631521556.778,4.56,0.5
1631521556.88,4.53,0.5
1631521556.982,4.32,0.5
1631521557.084,4.17,0.5
1631521557.186,4.05,0.5
1631521557.288,3.91,0.5
1631521557.39,3.88,0.5
1631521557.492,3.73,0.5
1631521557.594,3.6,0.5
1631521557.696,3.57,0.5
1631521557.798,3.39,0.5
1631521557.9,3.44,0.5
1631521558.002,3.39,0.5
1631521558.104,3.32,0.5
1631521558.206,3.33,0.5
1631521558.308,3.31,0.5
1631521558.41,3.09,0.5
1631521558.512,3.04,0.5
1631521558.614,3.11,0.5
1631521558.716,3.02,0.5
1631521558.818,3.0,0.5
1631521558.92,2.92,0.5
1631521559.023,2.82,0.5
1631521559.125,2.76,0.5
1631521559.227,2.78,0.5
1631521559.328,2.69,0.5
1631521559.431,2.73,0.5
1631521559.532,2.71,0.5
1631521559.634,2.68,0.5
1631521559.737,2.59,0.5
1631521559.838,2.6,0.5
1631521559.94,2.54,0.5
1631521560.042,2.52,0.5
1631521560.145,2.46,0.5
1631521560.246,2.47,0.5
1631521560.347,2.41,0.5
1631521560.449,2.4,0.5
1631521560.551,2.33,0.5
1631521560.653,2.34,0.5
1631521560.755,2.33,0.5
1631521560.857,2.31,0.5
1631521560.959,2.21,0.5
1631521561.06,2.21,0.5
1631521561.162,2.16,0.5
1631521561.264,2.14,0.5
1631521561.366,2.11,0.5
1631521561.468,2.06,0.5
1631521561.57,2.12,0.5
1631521561.672,2.01,0.5
1631521561.774,1.98,0.5
1631521561.876,1.99,0.5
1631521561.978,1.93,0.5
1631521562.08,1.92,0.5
1631521562.182,1.89,0.5
1631521562.284,1.82,0.5
1631521562.386,1.77,0.5
1631521562.488,1.83,0.5
1631521562.59,1.74,0.5
1631521562.692,1.73,0.5
1631521562.794,1.76,0.5
1631521562.896,1.72,0.5
1631521562.998,1.74,0.5
1631521563.1,1.93,0.5
1631521563.202,2.06,0.5
1631521563.304,2.34,0.5
1631521563.406,2.46,0.5
1631521563.508,2.8,0.5
1631521563.61,2.92,0.5
1631521563.712,3.09,0.5
1631521563.814,3.24,0.5
1631521563.916,3.48,0.5
1631521564.018,3.63,0.5
1631521564.12,3.74,0.5
1631521564.221,4.17,0.5
1631521564.322,4.17,0.5
1631521564.425,4.6,0.5
1631521564.526,4.71,0.5
1631521564.628,4.8,0.5
1631521564.73,4.81,0.5
1631521564.832,4.94,0.5
1631521564.934,4.77,0.5
1631521565.035,4.69,0.5
1631521565.136,4.69,0.5
1631521565.237,4.6,0.5
1631521565.338,4.63,0.5
1631521565.441,4.56,0.5
1631521565.543,4.54,0.5
1631521565.645,4.54,0.5
1631521565.747,4.61,0.5
1631521565.849,4.55,0.5
1631521565.951,4.59,0.5
1631521566.052,4.53,0.5
1631521566.154,4.67,0.5
1631521566.256,4.78,0.5
1631521566.358,4.94,0.5
1631521566.46,5.12,0.5
1631521566.562,5.41,0.5
1631521566.664,5.54,0.5
1631521566.766,5.77,0.5
1631521566.868,5.93,0.5
1631521566.97,6.13,0.5
1631521567.072,6.23,0.5
1631521567.174,6.4,0.5
1631521567.276,6.54,0.5
1631521567.378,6.66,0.5
1631521567.48,6.88,0.5
1631521567.582,7.01,0.5
1631521567.684,7.27,0.5
1631521567.786,7.53,0.5
1631521567.888,7.73,0.5
1631521567.99,7.95,0.5
1631521568.092,8.19,0.5
1631521568.194,8.39,0.5
1631521568.296,8.72,0.5
1631521568.398,8.84,0.5
1631521568.5,9.11,0.5
1631521568.602,9.35,0.5
1631521568.704,9.52,0.5
1631521568.806,9.67,0.5
1631521568.908,9.7,0.5
1631521569.01,9.66,0.5
1631521569.112,9.6,0.5
1631521569.214,9.6,0.5
1631521569.316,9.54,0.5
1631521569.418,9.49,0.5
1631521569.52,9.4,0.5
1631521569.623,9.44,0.5
1631521569.725,9.37,0.5
1631521569.826,9.44,0.5
1631521569.928,9.56,0.5
1631521570.029,9.68,0.5
1631521570.13,9.76,0.5
1631521570.231,9.81,0.5
1631521570.333,10.1,0.5
1631521570.435,10.2,0.5
1631521570.537,10.26,0.5
1631521570.639,10.43,0.5
1631521570.741,10.6,0.5
1631521570.843,10.75,0.5
1631521570.945,11.01,0.5
1631521571.046,11.03,0.5
1631521571.148,11.19,0.5
1631521571.25,11.44,0.5
1631521571.352,11.38,0.5
1631521571.454,11.54,0.5
1631521571.556,11.49,0.5
1631521571.658,11.55,0.5
1631521571.76,11.38,0.5
1631521571.862,11.33,0.5
1631521571.964,11.24,0.5
1631521572.066,11.19,0.5
1631521572.168,11.13,0.5
1631521572.27,11.07,0.5
1631521572.372,10.98,0.5
1631521572.474,11.04,0.5
1631521572.576,11.09,0.5
1631521572.678,11.04,0.5
1631521572.78,11.03,0.5
1631521572.882,11.03,0.5
1631521572.984,10.95,0.5
1631521573.086,10.91,0.5
1631521573.188,10.92,0.5
1631521573.29,10.93,0.5
1631521573.392,10.91,0.5
1631521573.494,10.98,0.5
1631521573.596,10.97,0.5
1631521573.698,10.96,0.5
1631521573.8,10.9,0.5
1631521573.902,10.9,0.5
1631521574.004,10.87,0.5
1631521574.106,10.85,0.5
1631521574.208,10.84,0.5
1631521574.31,10.83,0.5
1631521574.412,10.96,0.5
1631521574.514,10.74,0.5
1631521574.616,10.84,0.5
1631521574.718,10.83,0.5
1631521574.82,10.85,0.5
1631521574.923,10.78,0.5
1631521575.025,10.82,0.5
1631521575.126,10.86,0.5
1631521575.227,10.93,0.5
1631521575.328,11.02,0.5
1631521575.431,11.14,0.5
1631521575.533,11.19,0.5
1631521575.635,11.29,0.5
1631521575.737,11.36,0.5
1631521575.839,11.38,0.5
1631521575.941,11.5,0.5
1631521576.042,11.59,0.5
1631521576.144,11.68,0.5
1631521576.246,11.84,0.5
1631521576.348,11.92,0.5
1631521576.45,12.03,0.5
1631521576.552,12.16,0.5
1631521576.654,12.25,0.5
1631521576.756,12.41,0.5
1631521576.858,12.56,0.5
1631521576.96,12.73,0.5
1631521577.062,12.89,0.5
1631521577.164,13.05,0.5
1631521577.266,13.25,0.5
1631521577.368,13.47,0.5
1631521577.47,13.56,0.5
1631521577.572,13.76,0.5
1631521577.674,13.94,0.5
1631521577.776,14.05,0.5
1631521577.878,14.23,0.5
1631521577.98,14.39,0.5
1631521578.082,14.56,0.5
1631521578.184,14.78,0.5
1631521578.286,14.87,0.5
1631521578.388,15.07,0.5
1631521578.49,15.16,0.5
1631521578.592,15.22,0.5
1631521578.694,15.16,0.5
